,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,clarithromycin,206.4,242.6,269.5,344.3,137.9,101.70000000000002,74.80000000000001,469.7,689.9,809.4,186.6,434.0,283.6,0.4680467353601082,8.468691506652549,240.2260572102336,-87.7333417059374,40.04065994181536,0.0001001546415196,0.0001967750314748,9.662038995521574e-05,8.000644771292441,False,False,False,81.03054309814223,low/none
1,1,iso,gomez,clarithromycin,204.7,241.3,268.9,345.1,140.40000000000003,103.8,76.20000000000005,438.8,641.2,762.1,160.5,363.3,264.0,0.1075984957683399,3.208264838859256,240.9576204412797,-87.76065406271277,40.09961585920037,9.603609633155473e-05,0.0002099680300192,0.0001139319336876,3.100666343090916,False,False,False,79.00266323485563,low/none
2,2,iso,gomez,clarithromycin,205.9,242.2,269.3,344.5,138.6,102.3,75.19999999999999,460.3,676.3,796.8,211.3,453.4,327.5,1.156715846530057,15.496691202855434,240.45801487093792,-87.74198591291494,40.05523236936073,9.886305576761846e-05,0.000200500401467,0.0001016373456994,14.339975356325375,False,False,False,80.62606339371703,low/none
3,3,iso,gomez,clarithromycin,205.8,242.1,269.3,344.7,138.89999999999998,102.6,75.39999999999998,457.7,671.0,791.6,159.1,347.7,290.0,0.1752231193927891,3.594405484896646,240.56611287197643,-87.74615597070373,40.06824153585173,9.824656287161188e-05,0.0002018815541797,0.0001036349913081,3.4191823655038567,False,False,False,80.04647767400266,low/none
4,4,iso,gomez,clarithromycin,205.6,242.0,269.3,344.8,139.20000000000002,102.8,75.5,454.3,664.6,785.1,189.6,417.9,303.1,0.5358624901810355,9.226544712062587,240.682387513061,-87.75061361957657,40.08284497942471,9.758219305083484e-05,0.000203568264512,0.0001059860714612,8.690682221881552,False,False,False,79.45501738641597,low/none
5,5,iso,gomez,clarithromycin,205.8,242.1,269.3,344.7,138.89999999999998,102.6,75.39999999999998,458.3,670.8,791.1,191.7,434.8,289.0,0.1903441081360057,3.962511290866295,240.59083176129803,-87.74719772285802,40.07574110915561,9.809878788988348e-05,0.0002018928115477,0.0001037940236578,3.7721671827302896,False,False,False,79.68835465681634,low/none
6,6,iso,gomez,clarithromycin,206.0,242.3,269.4,344.7,138.7,102.39999999999998,75.30000000000001,461.3,674.7,794.7,176.4,410.6,275.7,0.2952166726450597,6.1998472247247145,240.54370843899244,-87.74550426845445,40.07599860626435,9.835936641014676e-05,0.0002008283485413,0.0001024689821311,5.904630552079655,False,False,False,79.62659368767152,low/none
7,7,iso,gomez,clarithromycin,205.2,241.7,269.1,344.9,139.7,103.2,75.79999999999995,448.2,655.7,776.5,197.5,448.9,283.7,0.905567092805922,11.73856601575182,240.7908736904247,-87.75456774634925,40.08787929177573,9.697471847356243e-05,0.0002060032084232,0.0001090284899496,10.832998922945896,False,False,False,79.35099032480406,low/none
8,8,iso,gomez,clarithromycin,207.3,243.3,269.9,344.1,136.8,100.8,74.20000000000005,485.4,710.2,827.0,229.5,505.2,306.8,2.642740197795764,19.367647576403265,239.85160877008215,-87.71951605452828,40.027777318358616,0.0001022045360971,0.0001911683765084,8.896384041129322e-05,16.7249073786075,False,False,False,81.1577540968905,low/none
9,9,iso,gomez,clarithromycin,207.5,243.5,270.0,343.9,136.39999999999998,100.39999999999998,73.89999999999998,489.9,716.8,832.8,224.2,517.6,280.1,2.280121706812568,15.083394488984831,239.673791173564,-87.71281051401434,40.01433773111416,0.0001031747010577,0.0001892963867114,8.612168565376998e-05,12.803272782172264,False,False,False,81.62409943350082,low/none
10,10,iso,gomez,clarithromycin,208.0,243.9,270.2,343.7,135.7,99.79999999999998,73.5,498.6,728.2,842.2,234.2,528.0,290.6,3.922604397143832,23.27430711015636,239.37281528118552,-87.70161698346172,39.999885458029816,0.0001047888947745,0.0001860439067324,8.125501195789574e-05,19.35170271301253,False,False,False,82.01651721026226,low/none
11,11,iso,gomez,clarithromycin,209.5,245.1,270.9,343.1,133.60000000000002,98.00000000000004,72.20000000000005,526.0,761.3,868.0,240.2,534.8,305.8,2.308986740124308,13.550248777479789,238.11968666665263,-87.65558575704308,39.94213449252306,0.0001112280186204,0.0001757031141625,6.447509554216906e-05,11.24126203735548,False,False,False,83.81172659320525,low/none
12,12,iso,gomez,clarithromycin,207.3,243.4,270.0,344.1,136.8,100.70000000000002,74.10000000000002,487.0,711.6,828.1,202.0,466.1,292.1,0.7666462708267007,9.467080198127492,239.8375865606606,-87.71905795988403,40.03156646421408,0.0001022771502265,0.000190774009332,8.849685910547583e-05,8.700433927300791,False,False,False,80.97412525060646,low/none
13,13,iso,gomez,clarithromycin,204.7,241.3,268.9,345.2,140.5,103.89999999999998,76.30000000000001,439.0,640.8,761.5,173.0,401.4,262.7,0.3941089680656804,7.815606838494166,240.97496482724443,-87.76137942898646,40.10486403843822,9.59309874396408e-05,0.0002100426040257,0.0001141116165861,7.421497870428486,False,False,False,78.75045715336017,low/none
14,14,iso,gomez,clarithromycin,207.7,243.7,270.1,343.9,136.2,100.2,73.79999999999995,494.5,722.3,837.2,238.9,523.4,306.7,3.153019321340405,18.230771829225727,239.5535147325949,-87.70838905682731,40.012179182922274,0.0001038195719691,0.0001877649587061,8.394538673691438e-05,15.077752507885322,False,False,False,81.60390856393836,low/none
15,15,iso,gomez,clarithromycin,206.2,242.4,269.5,344.5,138.3,102.1,75.0,465.6,682.1,801.9,241.3,518.8,305.0,4.267012142271813,23.018422947413733,240.4023345107404,-87.74011220900093,40.06024348928945,9.91601152394799e-05,0.0001988608193986,9.970070415914322e-05,18.75141080514192,False,False,False,80.21498207898186,low/none
16,16,iso,gomez,clarithromycin,204.5,241.1,268.8,345.2,140.7,104.1,76.39999999999998,435.0,635.4,756.3,172.0,395.6,266.3,0.4513709413287101,8.428200038841137,241.0154816924371,-87.76272192776166,40.10318291469109,9.571283034224498e-05,0.0002115872027853,0.0001158743724431,7.976829097512427,False,False,False,78.91550020328489,low/none
17,17,iso,gomez,clarithromycin,208.9,244.6,270.6,343.4,134.49999999999997,98.79999999999998,72.79999999999995,515.4,748.6,858.4,275.1,562.3,320.0,5.00304049815772,17.70671735937738,238.69711698295413,-87.67668363227159,39.97029639563987,0.0001083173804233,0.0001798878431229,7.157046269954692e-05,12.70367686121966,False,False,False,82.86208716791693,low/none
18,18,iso,gomez,clarithromycin,206.7,242.9,269.7,344.3,137.60000000000002,101.4,74.60000000000002,475.4,696.9,815.4,196.4,461.8,280.9,1.0436920403032377,11.83500517439824,240.1206391371388,-87.72951882223828,40.0396585952787,0.0001007303820849,0.0001948600774531,9.412969536818608e-05,10.791313134095002,False,False,False,80.89358283870334,low/none
19,19,iso,gomez,clarithromycin,206.0,242.3,269.4,344.6,138.60000000000002,102.3,75.20000000000005,461.9,676.8,796.9,228.9,497.6,308.9,1.1608997828001224,9.732798391639792,240.4872569861209,-87.74327523810149,40.06545042510792,9.868501337095126e-05,0.0002002965243586,0.0001016115109877,8.571898608839671,False,False,False,80.06691119691214,low/none
20,20,iso,gomez,clarithromycin,204.1,240.7,268.6,345.4,141.29999999999998,104.7,76.79999999999995,427.0,621.7,741.8,200.4,447.6,292.8,0.2104834506882944,3.8447020241536776,241.16073882487436,-87.76803925185193,40.11939076484761,9.488858561526296e-05,0.0002153740444721,0.0001204854588568,3.634218573465383,False,False,False,78.28415710977711,low/none
21,21,iso,gomez,clarithromycin,206.7,242.9,269.7,344.2,137.5,101.29999999999998,74.5,475.7,698.5,817.1,198.2,458.0,290.6,1.0358340604957008,12.550528692939352,240.05814221844776,-87.7270653545157,40.03039879848092,0.0001010828611034,0.0001943991000112,9.33162389078163e-05,11.514694632443652,False,False,False,81.32290185952498,low/none
