,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,nifedipine,199.7,235.5,264.0,340.4,140.7,104.89999999999998,76.39999999999998,359.1,492.7,591.6,174.4,355.3,215.5,0.1379059255010189,0.983514465626733,242.1292049114858,-87.79491752895997,39.15491077571309,8.998382848590086e-05,0.0002373452518513,0.0001473614233654,0.845608540125714,False,False,False,104.8400827624699,low/none
1,1,dyn,gomez,nifedipine,199.8,235.5,264.0,340.2,140.39999999999998,104.7,76.19999999999999,352.8,491.1,602.6,159.4,339.2,209.4,0.0712610678418058,0.6737945091881942,242.09150812110505,-87.79330227290374,39.15455292639222,9.023334973829528e-05,0.0002380538416433,0.000147820491905,0.6025334413463883,False,False,False,105.18913862314191,low/none
2,2,dyn,gomez,nifedipine,199.3,235.2,263.9,340.7,141.39999999999998,105.5,76.80000000000001,355.4,488.1,576.2,185.8,359.6,240.4,0.2408836022777171,1.4107687201988686,242.26958745647147,-87.80008027967342,39.16362784749981,8.916832239818009e-05,0.0002424014455676,0.0001532331231694,1.1698851179211514,False,False,False,104.3253565564665,low/none
3,3,dyn,gomez,nifedipine,200.9,236.4,264.6,340.4,139.49999999999997,103.99999999999996,75.79999999999995,366.2,519.7,633.0,163.2,411.7,224.0,0.0892038544697294,0.6074533884172458,242.047235100853,-87.79319848919187,39.13058014186376,9.034275266509778e-05,0.0002305117274554,0.0001401689747903,0.5182495339475164,False,False,False,105.2258633605307,low/none
4,4,dyn,gomez,nifedipine,199.2,235.1,263.9,340.6,141.40000000000003,105.50000000000004,76.70000000000005,352.3,480.1,573.5,175.6,349.2,222.9,0.1606825762935993,1.162430812538665,242.2305149758394,-87.79819836600342,39.17679407692332,8.944079877537046e-05,0.0002430335000417,0.0001535927012663,1.001748236245066,False,False,False,104.05974479931244,low/none
5,5,dyn,gomez,nifedipine,200.4,236.0,264.4,340.7,140.29999999999998,104.7,76.30000000000001,364.3,503.4,605.0,175.0,376.2,229.5,0.0860606668235209,0.7286540781554959,242.1309058798744,-87.79587871287404,39.15033656011144,8.989595871391066e-05,0.0002345240515483,0.0001446280928344,0.642593411331975,False,False,False,104.20662123083876,low/none
6,6,dyn,gomez,nifedipine,199.6,235.4,264.0,340.4,140.79999999999998,104.99999999999996,76.39999999999998,354.6,488.3,590.4,168.6,356.0,208.6,0.1130656402170255,0.9073243842469566,242.1363804065567,-87.79492826477423,39.1705055636287,8.996989309098889e-05,0.0002387445291479,0.000148774636057,0.794258744029931,False,False,False,104.4562682554519,low/none
7,7,dyn,gomez,nifedipine,198.8,234.8,263.6,340.4,141.59999999999997,105.59999999999997,76.79999999999995,348.7,481.2,572.0,195.9,389.9,220.6,0.2248800345457974,1.3540250999938703,242.2948879000685,-87.80034809749793,39.18266405338378,8.90807940455717e-05,0.0002452242634608,0.0001561434694152,1.129145065448073,False,False,False,104.7071235356738,low/none
8,8,dyn,gomez,nifedipine,199.5,235.4,264.0,340.6,141.10000000000002,105.20000000000002,76.60000000000002,359.5,497.6,588.7,195.5,392.7,227.4,0.3106721572043557,1.5606107386720605,242.28003336585584,-87.80091559147648,39.172198196081766,8.905109951834137e-05,0.0002391270174647,0.0001500759179464,1.2499385814677046,False,False,False,104.46515975270968,low/none
9,9,dyn,gomez,nifedipine,199.6,235.4,263.9,340.2,140.6,104.79999999999998,76.30000000000001,360.5,501.6,600.6,195.9,409.5,212.4,0.3106830527248067,1.4189918210777692,242.2183799657531,-87.79861137568716,39.16596529506758,8.941226606799047e-05,0.0002365697353548,0.0001471574692868,1.1083087683529629,False,False,False,105.37026944049131,low/none
10,10,dyn,gomez,nifedipine,199.5,235.4,263.9,340.3,140.8,104.9,76.40000000000003,359.9,501.2,598.7,192.4,404.6,211.8,0.3629240308912261,1.643578141443298,242.2295194779207,-87.79898818973336,39.16940396347553,8.934882265207776e-05,0.0002370847009585,0.0001477358783065,1.280654110552072,False,False,False,105.2389905086266,low/none
